_OccupationRole,_Rank,Author,Company,Date,Employment,Occupation,Place,Review,Rating
Engineering,,"Senior RF Engineer (Current Employee) - Melbourne, VIC Australia - July 31, 2013",Singtel,31/7/13,Current Employee,Senior RF Engineer,"Melbourne, VIC Australia","A typical day at work is analyzing site designs and having area performance engineers approve it and Vodafone Australia. I have learned Huawei 2G, 3G, 4G LTE TDD & FDD networks Management is firm but fair. My co-workers are majority are composed of good people. The hardest part of my job is overtime is pre-planned. They replace it time in-lieu, I prefer monetary. The most enjoyable part of my job is I'm in Melbourne, the most liveable city in the world.",4
Analysts,,"Analyst (Current Employee) - North Ryde, NSW - September 11, 2013",Singtel,11/9/13,Current Employee,Analyst,"North Ryde, NSW",Fantastic place to work with great people. They really do thier best to make the environment great and provide a great work/life balance.,4
Engineering,,"Associate Engineer (Current Employee) - Orchard - January 15, 2016",Singtel,15/1/16,Current Employee,Associate Engineer,Orchard,Working in Singtel is a great experience;as an associate engineer learnt a lot on roles & responsibilities of job nature;the management is good.,4
Customer Service,Officer,"Customer Service Officer (Current Employee) - Raffles Place - November 28, 2017",Singtel,28/11/17,Current Employee,Customer Service Officer,Raffles Place,a nice place to work at. supportive colleagues who’s willing to guide and teach you along the way. understanding colleagues and a very positive coworkers.,4
Analysts,,"Linux System Engineer (Current Employee) - SG - December 7, 2018",Singtel,7/12/18,Current Employee,Linux System Engineer,SG,I started my career with the this project and i am very happy to be part of the project where i know each and everything learned from scratch onwards.,4
Customer Service,Officer,"Customer Service Officer (Current Employee) - Serangoon - May 22, 2016",Singtel,22/5/16,Current Employee,Customer Service Officer,Serangoon,The pros about working over there is having good colleagues/superior who were able to assist whenever I faced any difficulties whereas the cons were facing demanding and impolite customers which I think is normal in customer service industry.,4
Analysts,,"Solutions Designer (Current Employee) - Serangoon - August 2, 2016",Singtel,2/8/16,Current Employee,Solutions Designer,Serangoon,"Coming from a vendor and system integrator, working at the client side which is now working at Singtel is a big relief and break for me. I know how vendors work and think and thus it gave me the necessary skills in managing the expectations of both vendor and stakeholders.",4
,,"Team Leader - Web Chat (Current Employee) - Serangoon - September 9, 2017",Singtel,9/9/17,Current Employee,Team Leader - Web Chat,Serangoon,"Singtel is a great company, they are innovative and is always trying to be ahead. I love working for Singtel. I have worked with Singtel for about 7 years now and currently looking for a change.",4
Sales,,"Area Sales Head (Current Employee) - Singapore - November 12, 2013",Singtel,12/11/13,Current Employee,Area Sales Head,Singapore,"I am here in Singapore for a 3-month attachment with SingTel as the Regional Talent Exchange Program representative within the SingTel group of companies. I am currently still employed under Globe Telecom as an Area Sales Head.  A typical day at work includes meetings with my fellow Team Leads and our Cluster Head as well as customer meetings along with my account managers. It can be challenging to deal with customers who complain about things that are out of my control like 3G signal or billing errors, but I always love a good challenge.  I represent the company and always make it a point to relate to them and assure them that I will do everything I can for a win-win situation. I enjoy meeting different kinds of people and being able to help provide relevant solutions.  It is a lot like being a consultant for them.  I also like being able to simplify technical solutions in a way that is useful to the customer's business.",4
Analysts,,"Data Engineer (Current Employee) - Singapore - September 18, 2016",Singtel,18/9/16,Current Employee,Data Engineer,Singapore,I had been working in singtel since April2015. The work culture and environment is good. The only thing is no scope to grow. That's being the main reason I am looking for the change to grow my self with new challenging environment which can serve as a motivation to give a boost to my career.,4
Analysts,,"DataScientist/ Architect (Current Employee) - Singapore - March 8, 2015",Singtel,8/3/15,Current Employee,DataScientist/ Architect,Singapore,"Great Mixed and Diverse Culture, Passionate about Research and Innovation and Society. Ability to do new and interesting things, greater support for research , development and implementation. Extraordinary company to build startups within SingTel and enhance them to the market.  I work as a Data scientist and Architect , developing data Products, and use data science to solve the problems and help idealizing into the Product.",4
,Manager,"Manager for Centre of Excellence and Operation (Current Employee) - Singapore - September 27, 2016",Singtel,27/9/16,Current Employee,Manager for Centre of Excellence and Operation,Singapore,"Localise culture, great co-worker and on-going events are organized within the company to keep the employees engagement rate high.",4
Project Management,Manager,"Project Manager (Current Employee) - Singapore - June 29, 2016",Singtel,29/6/16,Current Employee,Project Manager,Singapore,Singtel is a very good company to settle down and retire but should not expect sudden growth in your career. Most of the people working in Singtel are long service award holders and you should be patient enough for your turn to move up. Lots of opportunity for innovators adn always welcome new ideas,4
Engineering,,"Senior Associate Engineer (Current Employee) - Singapore - May 10, 2020",Singtel,10/5/20,Current Employee,Senior Associate Engineer,Singapore,What I really like about Singtel is that they provide a lot of good training opportunities for staff to stay relevant and competitive in this industry.,4
Project Management,Manager,"Sr. Project Manager (Current Employee) - Singapore - April 1, 2018",Singtel,1/4/18,Current Employee,Sr. Project Manager,Singapore,"Singtel is a organization to work with traditional values. The core values Singtel put forward areChallenger SpiritCustomer FocusIntegrityPersonal ExcellenceTeamwork",4
,Director,"ASSOCIATE DIRECTOR (Current Employee) - Somerset - August 17, 2015",Singtel,17/8/15,Current Employee,ASSOCIATE DIRECTOR,Somerset,"Head hunted by SingTel for a highly strategic role in the team at a crucial period of declining business trend. Turned around the business in less than a year by anchoring key business partnerships with global players like Google for the SingTel group of companies like Optus, AIS & Globe. Accelerated career progression and currently leading a high performing team of 12 members to implement game changing strategies in Mobile Payments and to create new revenue stream and long term business expansion opportunities.",4
Engineering,,"Network Engineer (Current Employee) - Somerset - September 4, 2014",Singtel,4/9/14,Current Employee,Network Engineer,Somerset,Good to deal with Customer and Internal Friends and Management Level Bosses.,4
,,"Corporate Procurement (Current Employee) - Sommerset - February 16, 2020",Singtel,16/2/20,Current Employee,Corporate Procurement,Sommerset,"Just started work.  Too early to review.  Generally, staff are friendly and have a local culture. Good gym and social benefits.  Processes can be more efficient",4
Analysts,Manager,"PRODUCT DEVELOPMENT & DELIVERY MANAGER (Current Employee) - Sydney NSW - May 8, 2017",Singtel,8/5/17,Current Employee,PRODUCT DEVELOPMENT & DELIVERY MANAGER,Sydney NSW,"Optus provides a good workplace environment & culture and has good campus facilities, work/life balance and benefits. Job security is a risk due to ongoing business transformation.",4
Engineering,,"Senior Engineer (Current Employee) - Telepark - December 7, 2017",Singtel,7/12/17,Current Employee,Senior Engineer,Telepark,A busy day always as need to dispatch engineer to site. Learened how to manaed customers service. Work closely with Management when higly escalated .Nice people who help when needed. When on cricis a lot of update need to be done. Learn and happy when a fault is resolved.,4
Sales,Manager,"Assistant Store Manager (Current Employee) - Woodlands - July 19, 2018",Singtel,19/7/18,Current Employee,Assistant Store Manager,Woodlands,"Good place for exposure to the retail marketGet to build the independent attitude from the jobGreat place and opportunity to know the different consumer behaviour",4
Customer Service,Officer,"Customer Care Officer (Current Employee) - malysia - July 20, 2016",Singtel,20/7/16,Current Employee,Customer Care Officer,malysia,"im interested in mobile technology and in this job I talk people through the details of phones ,plan  equipment and all sorts of general inquires and billing as well I have gained a great deal of knowledge and I enjoy helping people improve their work  some could say its one of the toughest job to maintain but when you deal with customers daily basis it make you to be more patient and sort out the issue and i enjoy helping customers",4
Finance/Accounts,Executive,"billing executive (Current Employee) - serangoon north - June 9, 2017",Singtel,9/6/17,Current Employee,billing executive,serangoon north,"good place to work, colleagues are friendly and fun. lesser poltics.earn to be a better team player, more patient with customers. hate to handle unreasonable customer. feel happy whencustomer compliment me.",4
,Director,"Director - Financial Services Industry (Current Employee) - sydney - October 27, 2014",Singtel,27/10/14,Current Employee,Director - Financial Services Industry,sydney,"I have worked with this group for almost 10 years in different capacities and they are very welcoming and team spirited.  Co-workers are very supportive and there are great opportunities through this transition.",4
Engineering,,"Engineer (Current Employee) - 19 Tai Seng Drive - November 5, 2018",Starhub,5/11/18,Current Employee,Engineer,19 Tai Seng Drive,Good team work and spirit among members. Understanding and supportive boss. Work environment is peaceful and relaxing. Motivated to work and produce result,4
Business Development,,"Senior Business Support Analyst (Team Lead) (Current Employee) - 67 Ubi Ave 1 StarHub Green - December 27, 2015",Starhub,27/12/15,Current Employee,Senior Business Support Analyst,67 Ubi Ave 1 StarHub Green,"Everyday is a learning day for me at StarHub  The environment is dynamic and ever changing. Co Workers are great to work with, the business units stakeholders I am supporting are professional and knowledgeable. Hardest part of the job would be dealing with third parties like vendors etc. Most enjoyable part of the job is that learning is non-stop and everyday I get to learn something about my work be it technical knowledge or skills.",4
,,"1.Hubbing Consultant (Current Employee) - Jurong Point - October 11, 2019",Starhub,11/10/19,Current Employee,1.Hubbing Consultant,Jurong Point,"Fast paced culture, learning to handle people's inquiries from all walks of life. Management is always supportive and try to help individuals to achieve their monthly target. You need to always put on a smile and constantly equipped yourself with product's knowledge as the products can change very fast. Overall, nice place to work in. I have also made a lot of nice and wonderful colleagues.",4
,Executive,"Contract - Program Executive (Current Employee) - ST Media Hub - September 15, 2019",Starhub,15/9/19,Current Employee,Contract - Program Executive,ST Media Hub,"My job here is to ensure all live broadcast is channeled and shown on tv is clear with no glitches. The job requires me to be attentive and particular with details. Coordinating with the main team to make sure all shows are run on time with no problems. When comes to trouble shooting/errors, I have to be sure if the issue is our side or the other respective companies that provide us the satellite feed. If its due to our equipment, will contact and assist with the respective department to solve as quick as possible to prevent delays.  I am currently still working here as a contractor as the job matches well with my time and I do enjoy working with the team even though I am usually working alone unless there is problems with the feed",4
,Manager,"Floor Manager (Current Employee) - Serangoon - March 10, 2017",Starhub,10/3/17,Current Employee,Floor Manager,Serangoon,Job satisfaction working in this company and fun loving people to work with. Challenging environment to work in. Good benefit fromthe company and looking after welfare of individual.,4
Business Development,,"Business Analyst (Current Employee) - Singapore - April 16, 2018",Starhub,16/4/18,Current Employee,Business Analyst,Singapore,Customer Experience is everyone’s charter. Everyone who comes into contact with the customer holds the charter of good Customer Experience. We put our customer at the centre of everything we do.,4
,,"Confidential Secretary (Current Employee) - Singapore - November 5, 2018",Starhub,5/11/18,Current Employee,Confidential Secretary,Singapore,"StarHub is an innovative telecom provider with a conducive working environment, excellent teamwork and fun colleagues. StarHub promotes work life balance with quarterly early release to spend quality family time.  It is good company to work in. My journey in StarHub will always be a memorable one.",4
Customer Service,Officer,"Customer Service Officer (Current Employee) - Singapore - November 2, 2019",Starhub,2/11/19,Current Employee,Customer Service Officer,Singapore,"work is fun management ok but lack of supportbenefit as contract staff not worth it unless you're permanentcolleagues are helpful and supportive +++",4
Analysts,,"Lead System Analyst (Current Employee) - Singapore - May 5, 2020",Starhub,5/5/20,Current Employee,Lead System Analyst,Singapore,Starhub is overall good workplace to learn and improve in the professional life. It is good for people who like challenges and want to excel in their career by learning new things.,4
Engineering,,"Network Engineer- Managed Services (Current Employee) - Singapore - January 25, 2018",Starhub,25/1/18,Current Employee,Network Engineer- Managed Services,Singapore,"Nice place to work and learn. Every day get something new to learn and share. Management is good and supportive in all aspects.  Team work culture is very supportive.",4
Analysts,,"Senior System Engineer (Current Employee) - Singapore - July 13, 2019",Starhub,13/7/19,Current Employee,Senior System Engineer,Singapore,"I have learnt good IT skills.Got opportunity to work on various technologies. Work and life is well balanced.Being I'm foreigner Considering less pay will not eligible to bring my family (dependents) . Otherwise StarHub is a very good place to work",4
Analysts,,"Senior Systems Analyst (Current Employee) - Singapore - July 5, 2014",Starhub,5/7/14,Current Employee,Senior Systems Analyst,Singapore,"The environment is very diverse and dynamic. The company's main business is telecommunications. Therefore, work is determined by the changing market demand. So it seeks employees who are very adaptive, well-rounded and open-minded.",4
Analysts,,"Senior Test Analyst (Current Employee) - Singapore - November 8, 2017",Starhub,8/11/17,Current Employee,Senior Test Analyst,Singapore,"- Good working environment with friendly colleagues.- Mostly manual testing.- Good management.- Nice culture.- Overtime a bit.- Enjoy the job.- Recommend to join",4
Engineering,,"Senior Associate Engineer (Current Employee) - Singapore Ayer Raja - June 25, 2017",Starhub,25/6/17,Current Employee,Senior Associate Engineer,Singapore Ayer Raja,"I am holding back end job. Checking source from oversea or local. Example golf , soccer, WTA, ATP , boxing, AFC, TFC and so on. Watching all program. make sure they are censor or loss of signal. troubleshooting the fault on our equipment. Network trouble shooting IP network.",4
,Manager,"Floor Manager (Current Employee) - Singapore, S00 - December 17, 2014",Starhub,17/12/14,Current Employee,Floor Manager,"Singapore, S00","-My job is to ensure that my shop operations run smoothly and the daily target is met  both in sales and in customer service level.  -The leader is the source of positive energy of the team.  As one of the leaders of the team, i have learned that exuding positive attitude gives a great impact towards your subordinates in overcoming challenges and pressure at work.-In a team, must learn to respect and accept our individuality and as a leader must learn how to dance with those personality differences.  In that way, it is easier to communicate.-To fire an employee is the hardest part of my job.-The most enjoyable part of my job is when i am able to transform a work atmosphere to a home atmosphere whereby the team treat each other as family.",4
Project Management,Manager,"Project Manager (Current Employee) - StarHub Green - April 17, 2016",Starhub,17/4/16,Current Employee,Project Manager,StarHub Green,"good learning, challenging projects, tight timelines, management support, supportive colleagues, work life balance",4
Engineering,,"Associate Engineer (Current Employee) - Tai Seng - October 30, 2018",Starhub,30/10/18,Current Employee,Associate Engineer,Tai Seng,Colleagues are helpful and the company's benefits are nice. The work culture is well managed and HR management team is also well-prepared.  It is a great place to learn,4
Customer Service,,"CUSTOMER AFFAIRS CONSULTANT (Current Employee) - Tai Seng - March 13, 2020",Starhub,13/3/20,Current Employee,CUSTOMER AFFAIRS CONSULTANT,Tai Seng,My department practices open door policy. My superiors are approachable and flexible. Fun working environment. Always dealing with challenging cases but it can be fulfilling once we were able to resolve the issues.,4
Customer Service,Executive,"Customer Care Executive (Current Employee) - Tai Seng - May 26, 2017",Starhub,26/5/17,Current Employee,Customer Care Executive,Tai Seng,I am managing a team composed of 8 agents in Billing department. I would ensure that they are able to meet what is their target and help them with cases.,4
Customer Service,Officer,"Customer Care Officer (Current Employee) - Tai Seng - May 24, 2018",Starhub,24/5/18,Current Employee,Customer Care Officer,Tai Seng,"We work in a team.Manage challenging customer.Find solutions to solve problems.Hardest part of the job is challenging customers.Most enjoyable part is we do team bonding event once in a while.",4
Customer Service,Officer,"Customer Care Officer (Current Employee) - Tai Seng - December 28, 2019",Starhub,28/12/19,Current Employee,Customer Care Officer,Tai Seng,I've learned about the working culture (Singapore) since it a multi national group. The bosses are good and flexible as long as you provide numbers (stats and KPIs are meet). It is a convenient and relax workplace with employees activities once in a while. The hardest part of the job is dealing with abusive customers. The most enjoyable part is when I can take vacation without hassle.,4
,,"Senior Consultant (Current Employee) - Tai Seng - October 5, 2017",Starhub,5/10/17,Current Employee,Senior Consultant,Tai Seng,Typical day at work starts with reporitng duties then followed by doing emails follow ups. Comntacting customers on a daily basis. Management promotes continuous learning and I have maintained a work life balance in this company.,4
Analysts,Executive,"Technical Support Analyst Executive (Current Employee) - Tai Seng - May 5, 2014",Starhub,5/5/14,Current Employee,Technical Support Analyst Executive,Tai Seng,"I have learned the best way to communicate with co-workers, inter-department in resolving customers' issue. The most enjoyable part of the Job is your co-workers when they motivate you in down times and we will learn from each others.Management will have few fun fair booth to engage workers from work time.",4
Customer Service,,"Customer Service (Current Employee) - Tai Seng, S00 - March 14, 2015",Starhub,14/3/15,Current Employee,Customer Service,"Tai Seng, S00","- normal working environment - face a lot of customer - boring / less fun- hardest part is when customer is scolding and do not want to talk to you .- enjoy part will be when you talk with a really good customer.",4
,Manager,"1-Floor Manager (Current Employee) - Town Area - June 19, 2017",Starhub,19/6/17,Current Employee,1-Floor Manager,Town Area,"Managing day to day operation of the shop from staffs issue/customers/rostering/ad hoc I find satisfaction in learning how to build the business in line with the company vision and values.  And I am constantly on the floor gaining feedback and maintaining visibility on the selling floor to answer customer’s questions and support selling for my staffs. Also I am heavily involved with the staff’s welfare from development training, roster planning, recruitment and appraisal. Wonderful collegues are the most enjoyable part of the job as well as being involved with the day to day dynamic ever changing promotions. Hardest part of the job is the empowerment given to manage very very very disputive customers.",4
,Manager,"Assistant Manager (Current Employee) - Ubi - April 8, 2018",Starhub,8/4/18,Current Employee,Assistant Manager,Ubi,"With the advances in digital technology and the shift in consumption patterns, there are many opportunities for me to try new stuff, work with talented individuals and constantly come up with innovative ways to meet the business's objectives while still promoting the company's vision and values.",4
,Director,"Associate Director (Current Employee) - Ubi - February 23, 2017",Starhub,23/2/17,Current Employee,Associate Director,Ubi,"A good and competitive working environment for any individuals. A good training ground for fresh graduates who aspire to excel in corporate ladder. Highly recommended for individuals who are willing to take on challenges.",4
,Executive,"Executive (Current Employee) - Ubi - April 16, 2017",Starhub,16/4/17,Current Employee,Executive,Ubi,"Fun and nice work environment, most of the colleagues are friendly and approachable. One area of improvements would be on the growth opportunities and development of staff.",4
Engineering,,"Principal Engineer (Current Employee) - Ubi - November 29, 2018",Starhub,29/11/18,Current Employee,Principal Engineer,Ubi,Typically start at 9am. monitoring of traffic and troubleshooting.. Many online courses to take. The managment is also very helpful and cheerful. The most interesting is the friends there,4
Analysts,,"Software Test Engineer, test analyst (Current Employee) - Ubi - September 21, 2016",Starhub,21/9/16,Current Employee,"Software Test Engineer, test analyst",Ubi,"You can see the initiative and creative things everywhere, name of meeting room, design the walls, open desk ... That will make you have more energy to work to enjoy the work.",4
Engineering,,"Engineer (Current Employee) - Ubi ave - September 29, 2016",Starhub,29/9/16,Current Employee,Engineer,Ubi ave,"Hi, i have been working in StarHub for almost 17 years since I graduate from my studies.I enjoys working there and my hardest part is to leave StarHub , as I have a group of friendly friend and working environment. and I enjoys everyday going to work.",4
,,"アパレル (Current Employee) - 兵庫県明石市大久保町ゆりのき通り1-3-2明石ビブレ4F - December 12, 2018",Uniqlo,12/12/18,Current Employee,アパレル,2明石ビブレ4F,"お客様との会話で、お客様が求めている物が何かを読み取り、役に立てた時の喜びはいい気分になるし仕事の励みや原動力になる。また、成長意欲や積極性のある方は昇進が早い。ただし、店舗によって育成環境が違うので差はあります。 有休制度に関しては、これも店舗によって違いますが、希望通りに取れないところがある。",4
,,"SUPERVISOR (Current Employee) - 311 Oxford st. - May 23, 2016",Uniqlo,23/5/16,Current Employee,SUPERVISOR,311 Oxford st.,most enjoyable part of the job is when you give the customer a great service so they will leave the store with a smile on their face and theres a chance to come back in store because they knew that there are people that willing to help them as they need help,4
Sales,,"Sales Associate (Current Employee) - 5th Ave 53rd St - February 22, 2020",Uniqlo,22/2/20,Current Employee,Sales Associate,5th Ave 53rd St,"Learned how to fold efficiently and quickly, how to operate cash registers, and how to operate the back of house opeartions. Interacted with customer on a daily basis.",4
,,"LOSS PREVENTION INVESTIGATOR (Current Employee) - 666 5th Ave - December 29, 2019",Uniqlo,29/12/19,Current Employee,LOSS PREVENTION INVESTIGATOR,666 5th Ave,"I based my review from the ups and down of the company . The company don’t give enough opportunity to grow without the company, and it doesn’t offer good enough employee raises .",4
Customer Service,,"Customer Advisor (Current Employee) - Amsterdam - January 27, 2020",Uniqlo,27/1/20,Current Employee,Customer Advisor,Amsterdam,Working at UNIQLO is something that makes me very happy. I enjoy working with my colleagues and the cooperation between us is very enjoyable.,4
,,"Associate (Current Employee) - Arcadia, CA - July 10, 2019",Uniqlo,10/7/19,Current Employee,Associate,"Arcadia, CA","One of the first things you learn is to develop a thick skin - whether it be from customers or from co-workers. You learn to be independent and proactive, as well as someone who is dependable. The hardest part of the job is going to be being held responsible for external factors that are outside your control , finding the silver lining in the negativity, and accomplishing certain tasks with the given time frame despite the circumstances. You learn to be your own cheerleader, and interpreter, when things are either foreign to you or not are perceived in ways that you are used to. The most enjoyable part of the job is being able to help customers and co-workers , and when things go according to plan or exceed expectations.",4
Sales,,"Retail assistant (Current Employee) - Australia - September 6, 2017",Uniqlo,6/9/17,Current Employee,Retail assistant,Australia,"Busy store with high standards Teaches you to have a strong work ethic but can sometimes be draining. Met some good co workers. Time goes by fast because your always busy.",4
,,"Praktikantin (Current Employee) - Berlin - August 29, 2019",Uniqlo,29/8/19,Current Employee,Praktikantin,Berlin,"Durch eine Vielzahl an Aufgaben wir die Arbeit nie langweilig oder eintönig. Kollegen sind immer hilfsbereit und super lieb! Toller Zusammenhalt innerhalb des Teams!",4
,,"Advanced Associate (Current Employee) - Bethesda, MD - September 15, 2019",Uniqlo,15/9/19,Current Employee,Advanced Associate,"Bethesda, MD",Day at uniqlo is fast paced but working there is a learning experience with having to work with people who have similar interest and learning how to communicate with a team and customers. Some hard parts are when the store is not consistent and changes week to week making it hard for some team members to understand where products are placed.,4
,,"Supervisor (Current Employee) - Bluewater, Kent - July 11, 2017",Uniqlo,11/7/17,Current Employee,Supervisor,"Bluewater, Kent","Company policy is beautiful but the reality does not match. Poor training of store managers and area managers deteriorate the growth of individuals.",4
Sales,,"Advanced Sales Associate (Current Employee) - Bridgewater, NJ - October 8, 2018",Uniqlo,8/10/18,Current Employee,Advanced Sales Associate,"Bridgewater, NJ","It really depends on who you work with and how dedicated you are to the job, if you're not into it you won't go anywhere. I worked with some nice people.",4
,,"Operations Supervisor (Current Employee) - Bridgewater, NJ - September 27, 2016",Uniqlo,27/9/16,Current Employee,Operations Supervisor,"Bridgewater, NJ",Each day is different; there is something specific that needs to be achieved that day. The slowest day would be Wednesday and the busiest Monday and the Weekend.,4
Sales,,"Retail Sales Associate (Current Employee) - Brooklyn, NY - March 3, 2018",Uniqlo,3/3/18,Current Employee,Retail Sales Associate,"Brooklyn, NY","It's a very comforting work space. Everyone is serious, yet friendly with what they do. It's a job you can make work for you. Lastly, it's a place where everyone works seamlessly with everyone else.",4
Sales,,"SALES ASSOCIATE (Current Employee) - Brooklyn, NY - September 10, 2016",Uniqlo,10/9/16,Current Employee,SALES ASSOCIATE,"Brooklyn, NY",A typical day at Uniqlo is a mixture between challenging and easygoing. You can go from being in the stock room for half of the day to only customer servicing for the other half. Working here i've learned that being an associate is not easy and a lot of responsibilities come with it. Management works with the associates well because they work around our school schedules as long as it meets the requirements of the store. The hardest part of the job is staying late hours past my shift and the most enjoyable part is interacting with new people everyday.,4
Sales,,"Sales Associate (Current Employee) - Brooklyn, NY - June 16, 2014",Uniqlo,16/6/14,Current Employee,Sales Associate,"Brooklyn, NY","working at uniqlo is fast paced all the times learned to be fast, calm, and more confident in my actionsco-workers are fun and supportivecompany is all about promoting from within",4
Sales,,"Sales Associate (Current Employee) - Brooklyn, NY - December 1, 2014",Uniqlo,1/12/14,Current Employee,Sales Associate,"Brooklyn, NY","Uniqlo is a company that is very detailed orientated. They have standards that usually always exceed those of its competitor, for example H and M. A typical day at work includes you cleaning up after customers, for example you fold piles of clothes back to perfection after customers repetidly ramsack it. You pick up trash off the floor, plastic that comes with the items that are folded, you keep the sales floor clean and representable. What I've learned is how to fold clothes, even when I'm home I find myself folding how I would at work. Management is good, they give you the plan for the day, sometimes, it doesn't go exactly how it was thought of initially, so you will end up being in an area of the store that needs the most attention opposed to what the schedule dictates. The hardest part of the job I would say is memorizing the layout changes. You get used to where things are for that one week and then the next week everything is rearranged. The most enjoyable part of the job is finding what the customer wants.",4
,,"Supervisor (Current Employee) - Brooklyn, NY - November 13, 2015",Uniqlo,13/11/15,Current Employee,Supervisor,"Brooklyn, NY","Great place to work with a supportive leadership team that pushes you to challenge yourself and grow.This a fairly new company to the United States, so many of the rules/regulations were very strict, near militant and based on Japanese culture. The Most enjoyable part of the job was working with people from all over the world and knowing there was a possibility to be able to grow and move with the company. Most days I am the MOD (manager on duty), so i make sure everything on the floor is running smoothly and handle any customer escalations.",4
,,"Associate (Current Employee) - California - January 12, 2019",Uniqlo,12/1/19,Current Employee,Associate,California,"New management came through and tried to shake everything up, which completely ruined the company culture. I enjoy my coworkers here. It's the only thing that's keeping me from quitting.",4
,,"Supervisor (Full-Time Job) (Current Employee) - Cebu City, Cebu - January 21, 2019",Uniqlo,21/1/19,Current Employee,Supervisor,"Cebu City, Cebu","When I worked in Uniqlo it was fun doing basic things that staff do before management tasks. It was also challenging on how to maximize sales and profit and creating countermeasures like coordinating with mall admin or with the headquarters directly. I learned to be independent and having my own initiative on how to run  store without the supervision of store manager. The most memorable is growing your members into business leaders. They dont just work as staffs, they also have to be a business leader in which they understand the store's current situation and create ideas on how to overcome it.",4
Sales,,"Store Supervisor (Current Employee) - Chadstone VIC - August 8, 2016",Uniqlo,8/8/16,Current Employee,Store Supervisor,Chadstone VIC,"Disciplines culture, very defined roles with opportunities for advancement for the right person. Clear procedures with Japanese influence. Customer service day to day, manage stock levels and deliveries and learned to be accountable.",4
Sales,,"Retail Associate (Current Employee) - Changi Airport - October 15, 2019",Uniqlo,15/10/19,Current Employee,Retail Associate,Changi Airport,"The most enjoyable part about working at Uniqlo is to be able to assist customers in ""designing"" a new look for them on the go. Although some customers are hard to handle, being able to experience and understand different types of apparels are important to meet the required needs of customers.",4
,,"Advanced Associate (Current Employee) - Chicago, IL - March 17, 2018",Uniqlo,17/3/18,Current Employee,Advanced Associate,"Chicago, IL","The company heavily invests in training and there is always something they can train you in, so advancement and promotions are easy if you have a strong work ethic and performance. The managers are very understanding to availability needs, as most employees are either students and or are commuting from far distances. Customers may make the day hard, but if you have an anxiety attack on the clock, the team was supportive and helped. The floor team is very close knit and has a family vibe between original store opening members and new hires.",4
Sales,,"Sales Associate (Current Employee) - Chicago, IL - February 2, 2017",Uniqlo,2/2/17,Current Employee,Sales Associate,"Chicago, IL","Job is very different because it is a company expanded from Japan. Very interesting company to work for. Everything is neat, and has to be in order.",4
Sales,,"Sales associate (Current Employee) - Chicago, IL - December 25, 2016",Uniqlo,25/12/16,Current Employee,Sales associate,"Chicago, IL","uniqlo is a very nice job for those who like to socialize and help people. since the store is located in Chicago we get a lot of different types of people from all around the world. the environment is very pleasant, can get overwhelming at times depending on the amount of foot traffic of customers but other than that the job is very nice.",4
Customer Service,,"Customer Service Representative (Current Employee) - Denver, CO - August 7, 2018",Uniqlo,7/8/18,Current Employee,Customer Service Representative,"Denver, CO",You are expected to go above and beyond in regards to productivity and customer service but the pay makes up for it as well as a management team that cares about its employees. Would not recommend to anyone who has never worked retail before since it may be a larger challenge than previous work.,4
Sales,,"Sales Associate (Current Employee) - Dublin, CA - January 21, 2019",Uniqlo,21/1/19,Current Employee,Sales Associate,"Dublin, CA",The associates working at Uniqlo are wonderful people. The environment is a regular retail store often bland still a great place to be in if you're a person that doesn't require much.,4
Sales,,"SALES ASSOCIATE (Current Employee) - Flushing, NY - May 25, 2017",Uniqlo,25/5/17,Current Employee,SALES ASSOCIATE,"Flushing, NY","Uniqlo is one of the best retail places to work at. The benefits are great, the discounts are good, and the staff here are very welcoming. The managerial team treats you as a peer and helps you to learn a lot of things.",4
Sales,,"Sales Associate (Current Employee) - Flushing, NY - April 4, 2018",Uniqlo,4/4/18,Current Employee,Sales Associate,"Flushing, NY","Uniqlo has a great amount of Japanese influence. Working at Uniqlo is all about teamwork. There is always something to be learned and once you've learned the material, you are able to teach to your fellow new hires. One of the things that employees must be ready to learn is time management. Having energy is a must in order to provide the best customer service to our customers. It can be a bit fast paced for the average retail employee but it can serve as a helpful tip on your life outside of the company. Management in my location was very communicative and to make things run smoothly Uniqlo offers a Career Step Up every 3 months. There you can communicate with your manager and trainer on what you plan to do with the company. The hardest job is the amount of responsibility as you take those Career Step Ups. It becomes a bit stressful but once perfected it becomes easier. Uniqlo is about moving up and taking responsibility. Overall the most enjoyable part of the job is the employees and the management team that make every shift less stressful.",4
Sales,,"Sales Associate (A1) (Current Employee) - Flushing, NY - August 30, 2018",Uniqlo,30/8/18,Current Employee,Sales Associate,"Flushing, NY","Through this job I have learned about layout changes and figuring out what items go in what zone.The most enjoyable part of this job is getting to know your co-workers and creating friendships with each and every one of them",4
,Manager,"Manager (Current Employee) - Garden City, NY - July 8, 2017",Uniqlo,8/7/17,Current Employee,Manager,"Garden City, NY","Ive been with company for about 3 years now and it has taught me alot, better customer interaction and leadership. I started out as a sales associate within a year i became a striving manager. Always eager to learn more and better myself as i go along the way.",4
